"","Survived","Pclass","Sex","Fare","Embarked","spouse","siblings","children","parents","Age2"
"1","0","3","male",7.25,"S","1","1","0","0","Teenager"
"2","1","1","female",71.2833,"C","1","1","0","0","Fit Adult"
"3","1","3","female",7.925,"S","0","1","0","0","Teenager"
"4","1","1","female",53.1,"S","1","1","0","0","Fit Adult"
"5","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"6","0","1","male",51.8625,"S","0","1","0","0","Fit Adult"
"7","0","3","male",21.075,"S","0","4","0","1","Young Child"
"8","1","3","female",11.1333,"S","0","1","2","0","Teenager"
"9","1","2","female",30.0708,"C","0","2","0","0","Child"
"10","1","3","female",16.7,"S","0","2","0","1","Young Child"
"11","1","1","female",26.55,"S","0","1","0","0","Fit Adult"
"12","0","3","male",8.05,"S","0","1","0","0","Teenager"
"13","0","3","male",31.275,"S","1","1","5","0","Fit Adult"
"14","0","3","female",7.8542,"S","0","1","0","0","Child"
"15","1","2","female",16,"S","0","1","0","0","Fit Adult"
"16","0","3","male",29.125,"Q","0","5","0","1","Young Child"
"17","0","3","female",18,"S","1","1","0","0","Fit Adult"
"18","0","2","male",26,"S","0","1","0","0","Fit Adult"
"19","1","2","male",13,"S","0","1","0","0","Fit Adult"
"20","1","3","female",8.0292,"Q","0","1","0","0","Child"
"21","1","1","male",35.5,"S","0","1","0","0","Teenager"
"22","0","3","female",21.075,"S","0","4","0","1","Adult"
"23","1","3","female",31.3875,"S","1","1","5","0","Fit Adult"
"24","0","1","male",263,"S","0","4","0","2","Teenager"
"25","0","1","male",27.7208,"C","0","1","0","0","Fit Adult"
"26","0","2","male",10.5,"S","0","1","0","0","Elderly"
"27","0","1","male",82.1708,"C","1","1","0","0","Teenager"
"28","0","1","male",52,"S","1","1","0","0","Fit Adult"
"29","0","3","male",8.05,"S","0","1","0","0","Teenager"
"30","0","3","female",18,"S","0","3","0","0","Child"
"31","1","3","female",11.2417,"C","0","2","0","0","Child"
"32","0","3","female",9.475,"S","1","1","0","0","Fit Adult"
"33","0","2","female",21,"S","1","1","0","0","Teenager"
"34","1","2","female",41.5792,"C","0","2","0","2","Young Child"
"35","1","3","female",7.8792,"Q","0","1","0","0","Teenager"
"36","0","3","female",17.8,"S","0","2","0","0","Child"
"37","0","3","male",39.6875,"S","0","5","0","1","Adult"
"38","0","3","male",7.8,"S","0","1","0","0","Teenager"
"39","1","1","female",76.7292,"C","1","1","0","0","Fit Adult"
"40","1","2","female",26,"S","1","1","0","0","Teenager"
"41","0","1","male",61.9792,"C","0","1","1","0","Elderly"
"42","1","2","female",10.5,"S","0","1","0","0","Teenager"
"43","0","3","male",7.2292,"C","0","1","0","0","Teenager"
"44","1","2","female",27.75,"S","0","2","0","2","Young Child"
"45","0","3","male",46.9,"S","0","6","0","2","Adult"
"46","0","3","male",7.2292,"C","0","1","0","0","Teenager"
"47","1","1","female",80,"","0","1","0","0","Fit Adult"
"48","0","1","male",83.475,"S","1","1","0","0","Fit Adult"
"49","0","3","male",27.9,"S","0","4","0","2","Young Child"
"50","1","2","female",10.5,"S","0","1","0","0","Teenager"
"51","0","3","male",8.1583,"S","0","1","0","0","Teenager"
"52","1","3","female",7.925,"S","0","5","0","2","Child"
"53","0","3","male",8.6625,"S","0","3","0","0","Teenager"
"54","0","2","male",10.5,"S","0","1","0","0","Fit Adult"
"55","0","3","female",46.9,"S","0","6","0","2","Child"
"56","0","2","male",73.5,"S","0","1","0","0","Teenager"
"57","0","3","male",14.4542,"C","1","1","0","0","Teenager"
"58","1","3","male",56.4958,"S","0","1","0","0","Fit Adult"
"59","0","3","male",7.65,"S","0","1","0","0","Teenager"
"60","1","2","male",29,"S","0","1","0","2","Young Child"
"61","1","3","female",12.475,"S","0","1","0","0","Teenager"
"62","0","3","male",9,"S","0","1","0","0","Teenager"
"63","1","3","male",9.5,"S","0","1","0","0","Teenager"
"64","0","1","male",47.1,"S","0","1","0","0","Teenager"
"65","1","2","female",10.5,"S","0","1","0","0","Child"
"66","1","3","female",15.85,"S","0","4","0","0","Fit Adult"
"67","0","3","male",34.375,"S","0","2","3","3","Child"
"68","1","1","female",263,"S","0","4","2","0","Teenager"
"69","0","3","male",8.05,"S","0","1","0","0","Teenager"
"70","0","3","male",8.05,"S","0","1","0","0","Teenager"
"71","0","3","male",7.8542,"S","0","1","0","0","Teenager"
"72","0","1","male",61.175,"S","1","1","0","0","Fit Adult"
"73","0","3","male",20.575,"S","1","1","2","0","Teenager"
"74","0","3","male",7.25,"S","0","1","0","0","Fit Adult"
"75","0","1","male",34.6542,"C","0","1","0","0","Elderly"
"76","1","1","male",63.3583,"C","0","1","1","0","Teenager"
"77","1","2","female",23,"S","0","1","1","0","Fit Adult"
"78","0","2","male",26,"S","1","1","0","0","Fit Adult"
"79","0","3","female",7.8958,"S","0","1","0","0","Teenager"
"80","0","1","male",77.2875,"S","0","1","1","0","Teenager"
"81","0","3","male",8.6542,"S","0","1","0","0","Fit Adult"
"82","0","3","male",7.925,"S","0","3","0","0","Fit Adult"
"83","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"84","1","3","female",7.65,"S","0","1","0","0","Teenager"
"85","0","3","male",7.8958,"S","0","1","0","0","Fit Adult"
"86","0","1","male",52,"S","0","1","0","0","Fit Adult"
"87","0","3","female",14.4542,"C","0","2","0","0","Child"
"88","0","3","male",8.05,"S","0","1","0","0","Teenager"
"89","0","3","female",9.825,"S","0","1","0","0","Teenager"
"90","0","3","female",14.4583,"C","0","1","0","0","Child"
"91","0","3","male",7.925,"S","0","1","0","0","Teenager"
"92","0","3","male",7.75,"Q","0","1","0","0","Elderly"
"93","0","2","male",21,"S","1","1","0","0","Teenager"
"94","0","1","male",247.5208,"C","0","1","1","0","Teenager"
"95","0","3","female",31.275,"S","0","5","0","2","Young Child"
"96","0","2","male",73.5,"S","0","3","0","0","Teenager"
"97","0","2","male",30.0708,"C","1","1","0","0","Fit Adult"
"98","1","2","female",13,"S","0","1","0","0","Fit Adult"
"99","0","1","male",77.2875,"S","0","1","1","0","Fit Adult"
"100","1","3","male",11.2417,"C","0","2","0","0","Adult"
"101","1","3","male",7.1417,"S","0","1","0","0","Teenager"
"102","0","3","male",6.975,"S","0","1","0","0","Fit Adult"
"103","0","3","male",7.8958,"C","0","1","0","0","Fit Adult"
"104","0","3","male",7.05,"S","0","1","0","0","Teenager"
"105","0","3","female",14.5,"S","1","1","0","0","Fit Adult"
"106","1","2","female",26,"S","1","1","0","0","Teenager"
"107","0","2","male",13,"S","0","1","0","0","Teenager"
"108","0","2","male",15.0458,"C","0","1","0","0","Teenager"
"109","1","1","female",26.2833,"S","0","1","0","2","Teenager"
"110","0","1","male",53.1,"S","1","1","0","0","Fit Adult"
"111","0","3","male",9.2167,"S","0","1","0","0","Child"
"112","0","1","male",79.2,"C","0","1","0","0","Teenager"
"113","1","3","female",7.75,"S","0","1","0","0","Teenager"
"114","1","3","female",15.85,"S","1","1","0","0","Teenager"
"115","0","3","male",6.75,"Q","0","1","0","0","Teenager"
"116","0","2","male",11.5,"S","0","1","0","0","Child"
"117","0","2","male",36.75,"S","0","2","0","1","Teenager"
"118","1","3","male",7.7958,"S","0","1","0","0","Teenager"
"119","0","3","female",34.375,"S","0","3","0","2","Adult"
"120","0","2","male",26,"S","0","1","2","0","Fit Adult"
"121","0","2","male",13,"S","0","1","0","0","Fit Adult"
"122","0","2","male",12.525,"S","0","1","0","0","Fit Adult"
"123","1","1","female",66.6,"S","1","1","0","0","Teenager"
"124","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"125","0","3","male",14.5,"S","0","1","2","0","Fit Adult"
"126","0","1","male",61.3792,"C","0","1","1","0","Fit Adult"
"127","1","3","female",7.7333,"Q","0","1","0","0","Child"
"128","0","3","male",8.05,"S","0","1","0","0","Teenager"
"129","0","3","male",16.1,"S","0","1","1","0","Fit Adult"
"130","1","2","female",15.75,"S","0","1","0","0","Fit Adult"
"131","0","3","male",7.775,"S","0","1","0","0","Teenager"
"132","0","3","male",8.6625,"S","0","1","0","0","Child"
"133","0","3","male",39.6875,"S","0","5","0","1","Young Child"
"134","1","3","male",20.525,"S","0","1","0","2","Adult"
"135","0","3","female",27.9,"S","1","1","4","0","Fit Adult"
"136","0","3","male",56.4958,"S","0","1","0","0","Teenager"
"137","0","1","male",33.5,"S","0","1","0","0","Elderly"
"138","0","3","male",29.125,"Q","0","5","0","1","Young Child"
"139","1","3","female",11.1333,"S","0","2","0","1","Young Child"
"140","0","3","male",7.925,"S","0","1","0","0","Teenager"
"141","0","1","male",30.6958,"C","0","1","0","0","Fit Adult"
"142","0","3","male",7.8542,"S","0","2","0","1","Child"
"143","0","1","female",28.7125,"C","0","1","0","0","Fit Adult"
"144","0","2","male",13,"S","0","1","0","0","Teenager"
"145","0","3","male",0,"S","0","1","0","0","Fit Adult"
"146","0","3","male",31.3875,"S","0","5","0","2","Adult"
"147","1","2","male",39,"S","0","3","0","1","Young Child"
"148","1","3","female",22.025,"S","0","1","0","2","Young Child"
"149","1","1","male",26.55,"S","0","1","0","0","Fit Adult"
"150","0","3","male",15.5,"Q","1","1","1","0","Fit Adult"
"151","0","3","male",7.8958,"S","0","1","0","0","Fit Adult"
"152","1","2","female",13,"S","0","1","0","0","Fit Adult"
"153","0","2","male",13,"S","0","1","0","0","Teenager"
"154","1","3","female",7.8542,"S","0","2","0","0","Teenager"
"155","1","2","male",26,"S","0","2","0","1","Young Child"
"156","1","1","female",27.7208,"C","0","1","0","0","Fit Adult"
"157","1","1","female",146.5208,"C","0","1","0","0","Fit Adult"
"158","0","3","male",8.4042,"S","0","1","1","0","Fit Adult"
"159","0","2","female",13,"S","0","1","0","0","Teenager"
"160","0","3","male",9.5,"S","0","1","0","0","Teenager"
"161","0","3","male",6.4958,"S","0","1","0","0","Fit Adult"
"162","0","3","male",7.225,"C","0","1","0","0","Fit Adult"
"163","1","3","male",8.05,"S","0","1","0","0","Child"
"164","0","3","female",10.4625,"S","0","1","0","1","Young Child"
"165","0","3","male",15.85,"S","1","1","0","0","Fit Adult"
"166","1","3","male",18.7875,"C","0","1","0","0","Teenager"
"167","1","3","female",7.75,"Q","0","1","0","0","Child"
"168","1","1","male",31,"C","0","1","0","0","Fit Adult"
"169","0","3","male",7.05,"S","0","1","0","0","Teenager"
"170","1","2","female",21,"S","0","1","0","0","Fit Adult"
"171","0","3","male",7.25,"S","0","1","0","0","Teenager"
"172","0","2","male",13,"S","0","1","0","0","Teenager"
"173","1","1","female",113.275,"C","1","1","0","0","Fit Adult"
"174","1","3","female",7.925,"S","0","1","0","0","Teenager"
"175","0","2","male",27,"S","1","1","0","0","Fit Adult"
"176","1","1","female",76.2917,"C","0","1","0","0","Fit Adult"
"177","0","2","male",10.5,"S","0","1","0","0","Teenager"
"178","1","3","male",8.05,"S","0","1","0","0","Child"
"179","0","2","male",13,"S","0","1","0","0","Teenager"
"180","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"181","1","1","male",90,"S","1","1","0","0","Fit Adult"
"182","0","3","male",9.35,"S","0","1","0","0","Teenager"
"183","1","2","male",10.5,"S","0","1","0","0","Teenager"
"184","0","3","male",7.25,"S","0","1","0","0","Teenager"
"185","0","2","male",13,"S","0","1","0","0","Child"
"186","1","1","female",83.475,"S","1","1","0","0","Fit Adult"
"187","0","3","male",7.775,"S","0","1","0","0","Teenager"
"188","0","2","male",13.5,"S","0","1","0","0","Fit Adult"
"189","1","3","female",31.3875,"S","0","5","0","2","Young Child"
"190","0","2","male",10.5,"S","0","1","0","0","Teenager"
"191","0","2","male",26,"S","1","1","0","0","Fit Adult"
"192","1","2","female",26.25,"S","0","1","0","2","Adult"
"193","0","2","male",10.5,"S","0","1","0","0","Teenager"
"194","0","2","male",12.275,"S","0","1","0","0","Fit Adult"
"195","0","2","male",10.5,"S","0","1","0","0","Teenager"
"196","0","3","male",7.125,"S","0","1","0","0","Teenager"
"197","0","3","male",7.225,"C","0","1","0","0","Teenager"
"198","0","1","male",90,"Q","0","3","0","0","Fit Adult"
"199","0","3","female",7.775,"S","0","1","0","0","Teenager"
"200","1","2","female",14.5,"S","0","1","2","0","Teenager"
"201","1","1","male",52.5542,"S","1","1","1","0","Fit Adult"
"202","0","2","male",26,"S","1","1","0","0","Fit Adult"
"203","0","3","female",10.4625,"S","1","1","1","0","Teenager"
"204","0","1","male",26.55,"S","0","1","0","0","Elderly"
"205","0","3","male",16.1,"S","1","1","0","0","Teenager"
"206","0","3","female",20.2125,"S","0","1","2","0","Fit Adult"
"207","1","3","female",15.2458,"C","0","1","2","0","Teenager"
"208","1","1","female",86.5,"S","0","1","0","0","Teenager"
"209","1","1","female",512.3292,"C","0","1","0","0","Fit Adult"
"210","1","2","female",26,"S","0","1","1","0","Fit Adult"
"211","1","3","male",31.3875,"S","0","5","0","2","Young Child"
"212","0","1","male",79.65,"S","1","1","1","0","Fit Adult"
"213","0","1","male",0,"S","0","1","0","0","Fit Adult"
"214","0","2","male",10.5,"S","0","1","0","0","Fit Adult"
"215","0","3","male",39.6875,"S","0","5","0","1","Child"
"216","1","3","male",7.775,"S","1","1","0","0","Teenager"
"217","1","1","female",153.4625,"S","0","1","1","0","Fit Adult"
"218","1","1","female",135.6333,"S","0","1","0","0","Fit Adult"
"219","1","3","male",0,"S","0","1","0","0","Teenager"
"220","1","2","female",19.5,"S","0","1","1","0","Fit Adult"
"221","0","1","male",29.7,"C","0","1","1","0","Fit Adult"
"222","1","1","female",77.9583,"S","1","1","0","0","Elderly"
"223","0","3","female",7.75,"S","0","1","0","0","Fit Adult"
"224","0","3","male",29.125,"Q","0","5","0","1","Adult"
"225","1","3","female",20.25,"S","1","1","1","0","Fit Adult"
"226","0","3","male",7.75,"Q","0","1","0","0","Elderly"
"227","0","3","male",7.8542,"S","0","1","0","0","Teenager"
"228","0","3","male",9.5,"S","0","1","0","0","Child"
"229","1","3","male",8.05,"S","0","1","0","0","Teenager"
"230","0","3","male",8.6625,"C","0","1","0","0","Fit Adult"
"231","1","3","male",9.5,"S","0","1","0","0","Teenager"
"232","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"233","1","2","male",13,"S","0","1","0","0","Fit Adult"
"234","1","3","female",7.75,"Q","0","1","0","0","Teenager"
"235","1","1","female",78.85,"S","0","1","0","0","Teenager"
"236","1","1","female",91.0792,"C","0","2","0","0","Teenager"
"237","0","2","male",12.875,"C","0","1","0","0","Fit Adult"
"238","0","3","female",8.85,"S","0","1","0","0","Teenager"
"239","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"240","0","3","male",7.2292,"C","0","1","0","0","Teenager"
"241","0","1","female",151.55,"S","0","2","0","2","Young Child"
"242","1","1","female",247.5208,"C","0","1","1","0","Fit Adult"
"243","0","3","male",0,"S","0","1","0","0","Teenager"
"244","1","1","male",151.55,"S","0","2","0","2","Young Child"
"245","1","1","female",108.9,"C","0","2","0","0","Child"
"246","0","2","male",24,"C","1","1","0","0","Teenager"
"247","1","1","female",56.9292,"C","0","1","0","0","Teenager"
"248","1","1","female",83.1583,"C","0","1","0","0","Teenager"
"249","1","1","female",262.375,"C","0","3","0","2","Child"
"250","0","2","female",26,"S","1","1","1","0","Teenager"
"251","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"252","0","2","male",26.25,"S","1","1","1","0","Fit Adult"
"253","1","3","female",7.8542,"S","0","1","0","0","Teenager"
"254","1","2","female",26,"S","1","1","0","0","Teenager"
"255","0","2","male",14,"S","0","1","0","0","Fit Adult"
"256","1","1","female",164.8667,"S","0","1","2","0","Fit Adult"
"257","1","1","female",134.5,"C","1","1","1","0","Fit Adult"
"258","0","3","male",7.25,"S","0","1","0","0","Teenager"
"259","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"260","1","2","female",12.35,"Q","0","1","0","0","Teenager"
"261","1","2","female",29,"S","1","1","1","0","Teenager"
"262","1","1","female",135.6333,"C","0","1","0","0","Fit Adult"
"263","0","3","male",6.2375,"S","0","1","0","0","Elderly"
"264","1","2","female",13,"S","0","1","0","0","Fit Adult"
"265","1","3","female",20.525,"S","1","1","1","0","Fit Adult"
"266","1","1","female",57.9792,"C","0","1","0","1","Child"
"267","0","1","male",28.5,"S","0","1","0","0","Fit Adult"
"268","0","1","male",153.4625,"S","0","1","1","0","Fit Adult"
"269","0","3","male",18,"S","0","3","0","0","Child"
"270","0","1","male",66.6,"S","1","1","0","0","Teenager"
"271","1","1","female",134.5,"C","0","1","0","0","Fit Adult"
"272","1","3","male",8.05,"S","0","1","0","0","Fit Adult"
"273","0","1","male",35.5,"S","0","1","0","0","Fit Adult"
"274","1","2","male",26,"S","0","2","0","1","Young Child"
"275","0","2","male",13,"S","0","1","0","0","Teenager"
"276","0","2","male",13,"S","0","1","0","0","Teenager"
"277","0","2","male",13,"S","0","1","0","0","Fit Adult"
"278","1","2","female",13,"S","0","1","0","0","Teenager"
"279","1","2","female",13,"S","0","1","0","0","Fit Adult"
"280","1","3","male",15.9,"S","0","2","0","1","Young Child"
"281","0","3","male",8.6625,"S","0","1","0","0","Fit Adult"
"282","0","3","male",9.225,"S","0","1","0","0","Teenager"
"283","0","3","male",7.2292,"C","0","2","0","1","Child"
"284","0","3","male",17.8,"S","1","1","0","0","Teenager"
"285","0","3","male",9.5,"S","0","1","0","0","Teenager"
"286","1","1","female",55,"S","0","1","1","0","Teenager"
"287","0","2","female",13,"S","0","1","0","0","Fit Adult"
"288","0","3","male",27.9,"S","1","1","4","0","Fit Adult"
"289","0","2","male",27.7208,"C","1","1","0","0","Teenager"
"290","0","3","female",14.4542,"C","0","1","1","0","Fit Adult"
"291","0","3","male",7.05,"S","0","1","0","0","Fit Adult"
"292","0","3","male",7.25,"S","0","1","0","0","Teenager"
"293","1","1","female",75.25,"C","1","1","0","0","Fit Adult"
"294","1","1","female",69.3,"C","0","1","0","0","Teenager"
"295","1","1","male",55.4417,"C","1","1","0","0","Teenager"
"296","0","3","male",6.4958,"S","0","2","0","0","Child"
"297","0","3","male",8.05,"S","0","1","0","0","Teenager"
"298","0","1","male",135.6333,"C","0","1","0","0","Teenager"
"299","0","3","female",21.075,"S","0","4","0","1","Young Child"
"300","1","3","female",7.25,"S","0","1","0","0","Teenager"
"301","0","1","male",211.5,"C","0","1","2","0","Teenager"
"302","0","3","male",4.0125,"C","0","1","0","0","Teenager"
"303","0","3","male",7.775,"S","0","1","0","0","Teenager"
"304","1","1","female",227.525,"C","0","1","0","0","Fit Adult"
"305","1","3","female",15.7417,"C","0","1","0","2","Young Child"
"306","0","3","male",7.925,"S","0","1","0","0","Fit Adult"
"307","1","1","female",52,"S","1","1","0","0","Fit Adult"
"308","0","2","male",73.5,"S","0","1","0","0","Child"
"309","0","3","male",46.9,"S","0","6","0","2","Young Child"
"310","1","2","female",13,"S","0","1","0","0","Fit Adult"
"311","1","2","female",12,"C","0","1","0","0","Child"
"312","1","1","male",120,"S","1","1","2","0","Fit Adult"
"313","1","3","male",7.7958,"S","0","1","0","0","Teenager"
"314","0","3","male",7.925,"S","0","3","0","0","Teenager"
"315","1","1","female",113.275,"C","1","1","0","0","Teenager"
"316","1","3","female",16.7,"S","0","1","2","0","Teenager"
"317","0","3","male",7.7958,"S","0","1","0","0","Teenager"
"318","0","3","female",7.8542,"S","0","1","0","0","Fit Adult"
"319","0","2","male",26,"S","0","1","0","0","Fit Adult"
"320","0","2","male",10.5,"S","0","1","0","0","Teenager"
"321","1","2","female",12.65,"S","0","1","0","0","Teenager"
"322","1","3","male",7.925,"S","0","1","0","0","Fit Adult"
"323","0","3","male",8.05,"S","0","1","0","0","Teenager"
"324","0","3","female",9.825,"S","1","1","0","0","Teenager"
"325","0","3","male",15.85,"S","1","1","0","0","Teenager"
"326","0","3","female",8.6625,"S","0","1","0","0","Teenager"
"327","0","2","male",21,"S","1","1","0","0","Fit Adult"
"328","0","3","male",7.75,"S","0","1","0","0","Fit Adult"
"329","1","2","male",18.75,"S","0","2","0","1","Young Child"
"330","0","3","male",7.775,"S","0","1","0","0","Teenager"
"331","1","1","female",90,"Q","1","1","0","0","Fit Adult"
"332","1","3","male",7.925,"S","0","1","0","0","Fit Adult"
"333","1","2","female",32.5,"S","1","1","1","0","Fit Adult"
"334","1","2","female",13,"S","0","1","0","2","Child"
"335","0","2","male",13,"S","0","1","0","0","Teenager"
"336","0","3","female",24.15,"S","0","1","0","2","Adult"
"337","0","3","male",7.7333,"Q","0","1","0","0","Teenager"
"338","0","3","male",7.875,"S","0","1","0","0","Teenager"
"339","0","3","female",14.4,"S","1","1","1","0","Teenager"
"340","0","3","male",20.2125,"S","0","2","0","1","Child"
"341","1","2","female",26,"S","1","1","0","0","Teenager"
"342","1","2","female",26,"S","0","1","0","0","Teenager"
"343","1","3","male",8.05,"S","0","1","0","0","Fit Adult"
"344","1","1","male",26.55,"S","0","1","0","0","Teenager"
"345","1","2","female",26,"S","1","1","0","0","Fit Adult"
"346","0","3","male",7.125,"S","0","1","0","0","Child"
"347","0","1","male",55.9,"S","1","1","0","0","Fit Adult"
"348","1","1","female",120,"S","0","2","0","2","Child"
"349","0","3","female",34.375,"S","0","3","2","0","Teenager"
"350","1","2","female",18.75,"S","0","3","3","0","Teenager"
"351","0","1","male",263,"S","1","1","4","0","Elderly"
"352","0","2","male",10.5,"S","0","1","0","0","Fit Adult"
"353","1","2","female",26.25,"S","1","1","1","0","Fit Adult"
"354","0","3","male",9.5,"S","0","1","0","0","Teenager"
"355","0","3","male",7.775,"S","1","1","0","0","Teenager"
"356","1","2","female",13,"S","0","1","0","0","Teenager"
