"","Survived","Pclass","Sex","Fare","Embarked","spouse","siblings","children","parents","Age2"
"357","1","1","male",81.8583,"S","0","1","0","2","Young Child"
"358","1","2","female",19.5,"S","0","1","0","1","Child"
"359","1","1","male",26.55,"S","0","1","0","0","Fit Adult"
"360","1","3","female",19.2583,"C","0","3","0","1","Young Child"
"361","1","1","male",30.5,"S","0","1","0","0","Fit Adult"
"362","0","2","male",27.75,"S","1","1","2","0","Fit Adult"
"363","0","1","male",27.75,"C","0","1","0","0","Teenager"
"364","1","1","male",89.1042,"C","1","1","0","0","Fit Adult"
"365","1","3","male",7.8958,"C","0","1","0","0","Teenager"
"366","0","1","male",26.55,"S","0","1","0","0","Elderly"
"367","1","2","female",10.5,"S","0","1","0","0","Fit Adult"
"368","1","1","male",26.55,"S","0","1","0","0","Fit Adult"
"369","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"370","0","1","male",38.5,"S","0","1","0","0","Fit Adult"
"371","0","2","male",13,"S","0","1","0","0","Fit Adult"
"372","0","3","male",7.05,"S","0","1","0","0","Fit Adult"
"373","0","1","male",26.55,"S","0","1","0","0","Fit Adult"
"374","1","3","female",19.2583,"C","0","3","0","1","Young Child"
"375","0","3","male",8.6625,"S","0","1","0","0","Fit Adult"
"376","1","2","female",27.75,"S","1","1","2","0","Fit Adult"
"377","1","2","female",13.7917,"C","0","1","0","0","Teenager"
"378","0","3","female",9.8375,"S","0","1","0","0","Teenager"
"379","0","2","male",21,"S","1","1","0","0","Fit Adult"
"380","0","3","male",7.0458,"S","1","1","0","0","Teenager"
"381","0","3","male",7.5208,"S","0","1","0","0","Teenager"
"382","1","3","female",12.2875,"S","0","1","0","1","Young Child"
"383","0","3","male",46.9,"S","0","6","0","2","Adult"
"384","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"385","1","3","female",9.5875,"S","0","1","0","0","Elderly"
"386","1","1","male",91.0792,"C","1","1","0","0","Teenager"
"387","1","1","female",90,"S","1","1","0","0","Fit Adult"
"388","0","1","male",29.7,"C","0","1","0","0","Fit Adult"
"389","0","3","male",8.05,"S","0","1","0","0","Teenager"
"390","1","3","male",15.9,"S","0","2","0","1","Adult"
"391","0","3","male",7.25,"S","0","1","0","0","Teenager"
"392","0","1","male",30.5,"S","0","1","0","0","Fit Adult"
"393","0","1","male",49.5042,"C","0","1","0","0","Elderly"
"394","0","3","male",8.05,"S","0","1","0","0","Teenager"
"395","1","1","female",78.2667,"C","1","1","0","0","Fit Adult"
"396","0","1","female",151.55,"S","1","1","2","0","Teenager"
"397","0","3","male",7.7958,"S","0","1","0","0","Teenager"
"398","0","3","male",8.6625,"S","0","1","0","0","Child"
"399","0","3","female",7.75,"Q","0","1","0","0","Teenager"
"400","0","3","female",9.5875,"S","0","1","0","0","Fit Adult"
"401","1","1","female",86.5,"S","0","1","0","0","Child"
"402","0","1","male",108.9,"C","0","2","0","0","Child"
"403","1","2","female",26,"S","0","1","2","0","Fit Adult"
"404","0","3","male",22.525,"S","0","1","0","0","Teenager"
"405","1","3","male",56.4958,"S","0","1","0","0","Teenager"
"406","1","3","male",7.75,"Q","0","1","0","0","Teenager"
"407","1","1","male",26.2875,"S","0","1","0","0","Fit Adult"
"408","1","1","female",59.4,"C","1","1","0","0","Fit Adult"
"409","0","3","male",7.4958,"S","0","1","0","0","Teenager"
"410","0","1","male",34.0208,"S","0","1","0","0","Fit Adult"
"411","1","2","female",10.5,"S","0","1","0","0","Fit Adult"
"412","1","2","female",26,"S","1","1","0","0","Fit Adult"
"413","0","3","male",7.8958,"S","0","1","0","0","Fit Adult"
"414","1","1","female",93.5,"S","0","1","0","0","Teenager"
"415","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"416","1","1","female",57.9792,"C","0","1","1","0","Fit Adult"
"417","0","3","male",7.75,"Q","0","1","0","0","Fit Adult"
"418","1","2","female",10.5,"S","0","1","0","0","Fit Adult"
"419","0","3","male",7.925,"S","0","1","0","0","Fit Adult"
"420","0","2","male",11.5,"S","0","3","1","0","Teenager"
"421","1","2","female",26,"S","0","2","0","1","Young Child"
"422","0","3","male",7.2292,"C","0","2","0","1","Child"
"423","0","3","female",8.6625,"S","0","1","0","0","Teenager"
"424","1","2","female",26.25,"S","0","1","0","2","Adult"
"425","0","1","male",26.55,"S","0","1","0","0","Fit Adult"
"426","1","1","female",106.425,"C","0","1","0","0","Teenager"
"427","1","1","female",49.5,"C","0","1","2","0","Teenager"
"428","1","1","female",71,"S","0","1","2","0","Fit Adult"
"429","0","3","female",31.275,"S","0","5","0","2","Adult"
"430","0","3","female",31.275,"S","0","5","0","2","Adult"
"431","1","2","male",26,"S","1","1","0","0","Fit Adult"
"432","0","1","male",106.425,"C","1","1","0","0","Fit Adult"
"433","0","1","male",26,"S","0","1","0","0","Elderly"
"434","1","2","female",26,"S","0","2","0","0","Teenager"
"435","0","3","male",20.525,"S","1","1","1","0","Fit Adult"
"436","1","2","male",36.75,"S","0","2","0","1","Adult"
"437","1","1","male",110.8833,"C","0","1","0","2","Child"
"438","0","2","male",26,"S","0","1","0","0","Teenager"
"439","1","3","male",7.225,"C","0","1","0","0","Teenager"
"440","1","3","female",7.775,"S","0","1","0","0","Teenager"
"441","0","1","male",26.55,"S","0","1","0","0","Elderly"
"442","1","1","female",39.6,"C","1","1","0","0","Fit Adult"
"443","1","1","female",79.65,"S","1","1","1","0","Fit Adult"
"444","1","3","female",17.4,"S","1","1","0","0","Fit Adult"
"445","0","3","male",7.8958,"S","0","1","0","0","Fit Adult"
"446","0","2","male",13.5,"S","0","1","0","0","Teenager"
"447","0","3","male",24.15,"S","0","3","0","0","Teenager"
"448","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"449","0","3","female",21.075,"S","0","1","4","0","Teenager"
"450","1","3","male",7.8542,"S","0","1","0","0","Fit Adult"
"451","1","2","male",10.5,"S","0","1","0","0","Elderly"
"452","1","1","female",51.4792,"S","0","3","0","0","Fit Adult"
"453","1","1","male",26.3875,"S","0","1","0","0","Fit Adult"
"454","0","3","male",8.05,"S","0","1","0","0","Child"
"455","0","3","male",14.5,"S","0","1","0","0","Teenager"
"456","1","2","female",13,"S","0","1","0","0","Fit Adult"
"457","1","1","female",55.9,"S","1","1","0","0","Fit Adult"
"458","1","3","male",7.925,"S","0","1","0","0","Fit Adult"
"459","1","2","female",30,"S","1","1","1","0","Teenager"
"460","1","1","female",110.8833,"C","1","1","1","0","Fit Adult"
"461","0","2","male",26,"S","0","1","0","0","Fit Adult"
"462","0","1","male",40.125,"C","0","1","0","0","Fit Adult"
"463","1","1","female",79.65,"S","0","1","0","2","Child"
"464","0","2","male",15,"S","0","1","0","0","Fit Adult"
"465","1","1","male",79.2,"C","1","1","1","0","Fit Adult"
"466","0","3","male",8.05,"S","0","1","0","0","Teenager"
"467","0","3","male",7.125,"S","0","1","0","0","Fit Adult"
"468","1","1","female",78.2667,"C","1","1","0","0","Fit Adult"
"469","0","3","male",7.25,"S","0","1","0","0","Fit Adult"
"470","0","2","male",26,"S","1","1","0","0","Fit Adult"
"471","0","3","male",24.15,"S","1","1","1","0","Fit Adult"
"472","0","3","male",0,"S","0","1","0","0","Fit Adult"
"473","1","1","male",56.9292,"C","1","1","0","0","Fit Adult"
"474","1","2","female",27,"S","0","3","1","0","Teenager"
"475","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"476","1","1","male",26.55,"C","0","1","0","0","Fit Adult"
"477","0","3","male",15.55,"S","1","1","0","0","Fit Adult"
"478","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"479","1","1","male",30.5,"S","0","1","0","0","Teenager"
"480","1","2","female",41.5792,"C","1","1","2","0","Teenager"
"481","1","1","female",153.4625,"S","0","1","0","0","Fit Adult"
"482","0","3","female",31.275,"S","1","1","5","0","Fit Adult"
"483","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"484","1","2","female",65,"S","1","1","2","0","Teenager"
"485","0","3","male",14.4,"S","1","1","1","0","Fit Adult"
"486","0","3","female",16.1,"S","1","1","0","0","Teenager"
"487","1","2","female",39,"S","0","3","0","1","Young Child"
"488","0","2","male",10.5,"S","0","1","0","0","Teenager"
"489","0","3","male",14.4542,"C","1","1","0","0","Teenager"
"490","1","1","male",52.5542,"S","1","1","0","0","Fit Adult"
"491","1","3","male",15.7417,"C","0","1","0","0","Teenager"
"492","0","3","male",7.8542,"S","0","1","0","0","Teenager"
"493","0","3","male",16.1,"S","0","1","0","0","Teenager"
"494","0","1","male",32.3208,"S","0","1","0","0","Elderly"
"495","0","2","male",12.35,"Q","0","1","0","0","Fit Adult"
"496","1","1","female",77.9583,"S","0","1","0","0","Teenager"
"497","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"498","1","1","male",30,"S","0","1","0","0","Elderly"
"499","0","3","male",7.0542,"S","0","1","0","0","Fit Adult"
"500","1","1","male",30.5,"C","0","1","0","0","Fit Adult"
"501","0","3","female",27.9,"S","0","4","0","2","Adult"
"502","1","2","female",13,"S","0","1","0","0","Teenager"
"503","0","3","male",7.925,"S","0","1","0","0","Fit Adult"
"504","0","2","male",26.25,"S","1","1","1","0","Fit Adult"
"505","0","3","female",39.6875,"S","0","1","5","0","Fit Adult"
"506","0","3","male",7.8542,"S","0","1","0","0","Teenager"
"507","1","1","female",69.3,"C","0","1","0","0","Teenager"
"508","0","3","female",27.9,"S","0","4","0","2","Young Child"
"509","1","3","female",19.2583,"C","0","3","0","1","Young Child"
"510","1","1","male",76.7292,"C","1","1","0","0","Fit Adult"
"511","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"512","1","1","male",35.5,"C","0","1","0","0","Fit Adult"
"513","1","3","female",7.55,"S","0","1","0","0","Teenager"
"514","1","2","female",23,"S","0","1","0","1","Child"
"515","0","3","male",8.4333,"S","0","1","0","0","Teenager"
"516","0","3","female",6.75,"Q","0","1","0","0","Child"
"517","0","2","male",73.5,"S","0","3","0","0","Teenager"
"518","0","3","female",15.5,"Q","1","1","1","0","Fit Adult"
"519","0","2","male",13,"S","0","1","0","0","Teenager"
"520","0","1","male",113.275,"C","0","1","2","0","Fit Adult"
"521","1","1","male",133.65,"S","0","3","0","0","Fit Adult"
"522","0","3","male",7.225,"C","0","1","0","0","Fit Adult"
"523","0","1","male",25.5875,"S","0","1","0","0","Fit Adult"
"524","0","3","male",7.4958,"S","0","1","0","0","Fit Adult"
"525","1","3","male",7.925,"S","0","1","0","0","Teenager"
"526","0","2","male",73.5,"S","0","3","0","0","Fit Adult"
"527","0","2","male",13,"S","0","1","0","0","Teenager"
"528","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"529","1","2","female",39,"S","1","1","1","0","Fit Adult"
"530","0","1","male",52,"S","1","1","0","0","Fit Adult"
"531","0","2","male",10.5,"S","0","1","0","0","Elderly"
"532","1","2","male",13,"S","0","1","0","0","Fit Adult"
"533","0","3","male",7.775,"S","0","1","0","0","Child"
"534","0","3","male",8.05,"S","0","1","0","0","Teenager"
"535","1","3","female",9.8417,"S","0","1","0","0","Child"
"536","0","3","female",46.9,"S","1","1","6","0","Fit Adult"
"537","1","1","male",512.3292,"C","0","1","1","0","Fit Adult"
"538","1","1","male",76.7292,"C","0","1","0","0","Teenager"
"539","0","3","male",9.225,"S","0","1","0","0","Teenager"
"540","0","3","male",46.9,"S","0","6","0","2","Child"
"541","0","2","male",39,"S","1","1","1","0","Fit Adult"
"542","0","2","male",41.5792,"C","1","1","2","0","Teenager"
"543","0","3","male",39.6875,"S","0","5","0","1","Child"
"544","0","3","male",10.1708,"S","0","1","0","0","Teenager"
"545","0","3","male",7.7958,"S","0","1","0","0","Child"
"546","1","1","female",211.3375,"S","0","1","0","1","Child"
"547","1","1","male",57,"S","1","1","0","0","Fit Adult"
"548","1","3","female",13.4167,"C","0","1","0","1","Young Child"
"549","0","3","male",7.225,"C","0","1","0","0","Teenager"
"550","0","1","male",26.55,"S","0","1","0","0","Fit Adult"
"551","0","2","male",13.5,"S","0","1","0","0","Fit Adult"
"552","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"553","0","1","male",110.8833,"C","1","1","1","0","Fit Adult"
"554","0","3","male",7.65,"S","0","1","0","0","Fit Adult"
"555","1","1","female",227.525,"C","0","2","0","0","Child"
"556","1","1","male",26.2875,"S","0","1","0","0","Fit Adult"
"557","0","3","female",14.4542,"C","0","1","0","1","Child"
"558","0","3","male",7.7417,"Q","0","1","0","0","Teenager"
"559","0","3","male",7.8542,"S","1","1","0","0","Teenager"
"560","0","2","male",26,"S","0","1","0","0","Fit Adult"
"561","1","2","female",13.5,"S","0","1","0","0","Fit Adult"
"562","1","1","male",26.2875,"S","0","1","0","0","Fit Adult"
"563","1","1","female",151.55,"S","0","1","0","0","Teenager"
"564","1","1","female",49.5042,"C","0","1","0","0","Teenager"
"565","1","1","male",52,"S","1","1","0","0","Fit Adult"
"566","0","3","male",9.4833,"S","0","1","0","0","Teenager"
"567","0","2","male",13,"S","0","1","0","0","Fit Adult"
"568","0","3","male",7.65,"S","0","1","0","0","Teenager"
"569","1","1","female",227.525,"C","0","1","0","0","Fit Adult"
"570","1","2","female",10.5,"S","0","1","0","0","Teenager"
"571","0","3","male",7.775,"S","0","1","0","0","Fit Adult"
"572","1","2","female",33,"S","0","1","0","1","Adult"
"573","0","3","male",7.0542,"S","0","2","0","0","Child"
"574","0","2","male",13,"S","0","1","0","0","Fit Adult"
"575","0","2","male",13,"S","0","1","0","0","Fit Adult"
"576","1","1","male",53.1,"S","1","1","0","0","Teenager"
"577","0","3","male",8.6625,"S","0","1","0","0","Teenager"
"578","0","2","male",26,"S","1","1","0","0","Teenager"
"579","0","3","female",7.925,"S","1","1","0","0","Teenager"
"580","1","1","female",211.3375,"S","0","1","0","0","Teenager"
"581","0","3","male",18.7875,"C","0","1","0","0","Adult"
"582","0","2","male",13,"S","0","1","0","0","Teenager"
"583","0","2","male",13,"S","0","1","0","0","Teenager"
"584","0","3","male",16.1,"S","0","1","0","0","Teenager"
"585","0","3","female",34.375,"S","1","1","3","0","Fit Adult"
"586","1","1","male",512.3292,"C","0","1","0","0","Fit Adult"
"587","0","1","male",78.85,"S","1","1","0","0","Fit Adult"
"588","1","1","female",262.375,"C","0","3","2","0","Teenager"
"589","0","3","male",16.1,"S","1","1","0","0","Teenager"
"590","1","3","male",7.925,"S","0","1","0","0","Fit Adult"
"591","0","1","male",71,"S","1","1","1","0","Elderly"
"592","0","3","male",20.25,"S","0","2","0","1","Child"
"593","1","2","female",13,"S","0","1","0","0","Teenager"
"594","0","1","male",53.1,"S","0","2","0","0","Teenager"
"595","0","3","male",7.75,"Q","0","1","0","0","Fit Adult"
"596","1","2","female",23,"S","0","2","0","1","Young Child"
"597","1","3","male",12.475,"S","0","1","0","1","Adult"
"598","0","3","male",9.5,"S","0","1","0","0","Fit Adult"
"599","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"600","1","2","female",65,"S","1","1","2","0","Fit Adult"
"601","1","2","male",14.5,"S","0","2","0","1","Young Child"
"602","0","3","male",7.7958,"S","0","1","0","0","Teenager"
"603","0","2","male",11.5,"S","0","1","0","0","Child"
"604","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"605","1","1","female",86.5,"S","0","1","0","0","Fit Adult"
"606","0","3","male",7.125,"S","0","1","0","0","Fit Adult"
"607","1","3","male",7.2292,"C","0","1","0","0","Teenager"
"608","1","1","female",120,"S","1","1","2","0","Fit Adult"
"609","0","3","male",7.775,"S","0","1","0","0","Child"
"610","1","1","female",77.9583,"S","1","1","0","0","Fit Adult"
"611","0","3","female",7.75,"Q","0","1","0","0","Fit Adult"
"612","0","3","male",8.3625,"S","0","1","0","0","Fit Adult"
"613","0","3","male",9.5,"S","0","1","0","0","Teenager"
"614","0","3","male",7.8542,"S","0","1","0","0","Fit Adult"
"615","0","2","female",10.5,"S","0","1","0","0","Fit Adult"
"616","1","2","female",23,"S","1","1","3","0","Fit Adult"
"617","0","3","male",7.75,"S","0","1","0","0","Child"
"618","1","3","female",12.475,"S","0","1","0","0","Young Child"
"619","1","1","female",211.3375,"S","0","1","1","0","Fit Adult"
"620","1","3","female",7.2292,"C","0","1","0","0","Child"
"621","1","1","female",57,"S","0","2","0","0","Child"
"622","0","1","male",30,"S","0","1","0","0","Teenager"
"623","0","3","male",7.05,"S","0","1","0","0","Teenager"
"624","0","3","male",7.25,"S","0","1","0","0","Teenager"
"625","1","3","female",7.4958,"S","0","1","0","0","Child"
"626","0","3","male",29.125,"Q","0","5","0","1","Adult"
"627","1","3","male",20.575,"S","0","2","0","2","Young Child"
"628","0","1","male",79.2,"C","0","1","0","0","Fit Adult"
"629","0","2","male",26,"S","0","1","0","0","Child"
"630","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"631","0","2","male",13,"S","0","1","0","0","Fit Adult"
"632","1","1","female",25.9292,"S","0","1","0","0","Fit Adult"
"633","1","3","female",8.6833,"S","0","1","0","0","Fit Adult"
"634","0","3","male",7.2292,"C","0","1","0","0","Teenager"
"635","0","3","female",24.15,"S","1","1","1","0","Teenager"
"636","0","2","male",13,"S","0","1","0","0","Fit Adult"
"637","1","2","female",26.25,"S","1","1","1","0","Fit Adult"
"638","1","1","male",120,"S","0","2","0","2","Adult"
"639","1","3","male",8.5167,"C","0","1","0","1","Young Child"
"640","1","3","male",6.975,"S","0","1","0","0","Teenager"
"641","0","3","male",7.775,"S","0","1","0","0","Fit Adult"
"642","0","1","male",0,"S","0","1","0","0","Fit Adult"
"643","0","3","female",7.775,"S","0","1","0","0","Child"
"644","0","2","male",13,"S","0","1","0","0","Fit Adult"
"645","1","1","female",53.1,"S","1","1","0","0","Fit Adult"
"646","0","3","male",7.8875,"S","0","1","0","0","Teenager"
"647","0","3","male",24.15,"S","0","1","0","0","Fit Adult"
"648","0","2","male",10.5,"S","0","1","0","0","Fit Adult"
"649","0","3","female",31.275,"S","0","5","0","2","Adult"
"650","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"651","0","3","female",7.925,"S","0","1","0","0","Teenager"
"652","0","2","male",37.0042,"C","1","1","1","0","Fit Adult"
"653","0","3","male",6.45,"S","0","1","0","0","Fit Adult"
"654","0","3","male",27.9,"S","0","4","0","2","Adult"
"655","1","1","female",93.5,"S","1","1","1","0","Fit Adult"
"656","1","3","male",8.6625,"S","0","1","0","0","Teenager"
"657","0","1","male",0,"S","0","1","0","0","Fit Adult"
"658","1","3","female",12.475,"S","0","1","1","0","Teenager"
"659","0","3","male",39.6875,"S","0","5","0","1","Young Child"
"660","1","2","male",37.0042,"C","0","1","0","2","Young Child"
"661","1","1","female",80,"","0","1","0","0","Elderly"
"662","1","3","female",14.4542,"C","0","2","0","0","Child"
"663","1","2","male",18.75,"S","0","2","0","1","Young Child"
"664","0","3","male",7.8542,"S","0","1","0","0","Teenager"
"665","0","3","male",8.3,"S","0","1","0","0","Child"
"666","1","1","female",83.1583,"C","1","1","1","0","Fit Adult"
"667","0","3","male",8.6625,"S","0","1","0","0","Teenager"
"668","1","3","male",56.4958,"S","0","1","0","0","Fit Adult"
"669","0","3","male",7.925,"S","0","1","0","0","Teenager"
"670","0","2","male",10.5,"S","0","1","0","0","Child"
"671","1","1","female",31,"C","0","1","0","0","Teenager"
"672","0","3","male",6.4375,"C","0","1","0","0","Fit Adult"
"673","0","3","male",8.6625,"S","0","1","0","0","Child"
"674","0","3","male",7.55,"S","0","1","0","0","Fit Adult"
"675","0","3","male",7.8958,"C","0","1","0","0","Fit Adult"
"676","0","2","male",33,"S","0","1","1","0","Teenager"
"677","0","3","male",31.275,"S","0","5","0","2","Young Child"
"678","0","3","male",7.775,"S","0","1","0","0","Elderly"
"679","0","3","female",15.2458,"C","0","2","0","1","Adult"
"680","1","1","female",39.4,"S","0","1","0","1","Child"
"681","0","2","female",26,"S","1","1","0","0","Fit Adult"
"682","1","3","female",9.35,"S","0","1","0","1","Child"
"683","1","1","female",164.8667,"S","1","1","1","0","Fit Adult"
"684","1","1","male",26.55,"S","0","1","0","0","Fit Adult"
"685","1","3","female",19.2583,"C","0","1","3","0","Teenager"
"686","0","3","male",14.1083,"S","0","3","0","0","Fit Adult"
"687","0","2","male",11.5,"S","1","1","0","0","Teenager"
"688","1","1","female",25.9292,"S","0","1","0","0","Fit Adult"
"689","0","2","male",13,"S","0","1","0","0","Teenager"
"690","1","2","female",13,"S","0","1","0","0","Fit Adult"
"691","1","2","female",13.8583,"C","1","1","0","0","Teenager"
"692","0","1","male",50.4958,"S","0","1","0","0","Fit Adult"
"693","1","3","male",11.1333,"S","0","2","0","1","Young Child"
"694","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"695","1","1","female",52.5542,"S","1","1","1","0","Fit Adult"
"696","0","1","male",5,"S","0","1","0","0","Fit Adult"
"697","0","3","male",9,"S","0","1","0","0","Fit Adult"
"698","1","2","female",24,"C","1","1","0","0","Teenager"
"699","1","3","female",7.225,"C","0","1","0","0","Child"
"700","0","3","male",9.8458,"S","0","1","0","0","Teenager"
"701","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"702","1","1","female",83.1583,"C","0","1","1","0","Fit Adult"
"703","1","2","female",26,"S","0","1","1","0","Teenager"
"704","0","3","male",7.8958,"S","0","1","0","0","Fit Adult"
"705","0","3","female",10.5167,"S","0","1","0","0","Teenager"
"706","0","2","male",10.5,"S","0","1","0","0","Teenager"
"707","0","3","male",7.05,"S","0","1","0","0","Teenager"
"708","0","3","female",29.125,"Q","0","1","5","0","Fit Adult"
"709","0","2","male",13,"S","0","1","0","0","Teenager"
"710","1","1","female",30,"S","0","1","0","0","Teenager"
"711","1","1","male",30,"C","0","1","0","0","Teenager"
"712","0","3","male",7.75,"Q","0","1","0","0","Fit Adult"
